Entrez ID	Symbol	Name	Gene Family	Type	RNA-Seq Correlation	RNA-Seq Correlation Self-Rank
3646	EIF3E	eukaryotic translation initiation factor 3 subunit E	Eukaryotic translation initiation factor 3	best inferred	0.78	0.00
2319	FLOT2	flotillin 2	Flotillins	best inferred	0.60	0.00
4978	OPCML	opioid binding protein/cell adhesion molecule like	I-set domain containing, IgLON cell adhesion molecules	best inferred	0.53	0.02
2318	FLNC	filamin C		best inferred	0.89	0.00
4990	SIX6	SIX homeobox 6	SINE class homeoboxes	inferred	0.12	0.26
3660	IRF2	interferon regulatory factor 2		best inferred	0.76	0.00
4991	OR1D2	olfactory receptor family 1 subfamily D member 2	Olfactory receptors, family 1	inferred	0.21	0.13
3661	IRF3	interferon regulatory factor 3		best inferred	0.84	0.00
4992	OR1F1	olfactory receptor family 1 subfamily F member 1	Olfactory receptors, family 1	inferred	-0.06	0.62
3662	IRF4	interferon regulatory factor 4		best inferred	0.69	0.00
4993	OR2C1	olfactory receptor family 2 subfamily C member 1	Olfactory receptors, family 2	inferred	-0.07	0.71
1000	CDH2	cadherin 2	CD molecules, Type I classical cadherins	best inferred	0.79	0.00
2331	FMOD	fibromodulin	Small leucine rich repeat proteoglycans	best inferred	0.90	0.00
2330	FMO5	flavin containing monooxygenase 5		best inferred	0.60	0.00
107985240	LOC107985240	uncharacterized LOC107985240		not inferred		
107985246	LOC107985246	translation initiation factor IF-2-like		not inferred		
259240	WFDC9	WAP four-disulfide core domain 9	WAP four-disulfide core domain containing	not inferred		
2328	FMO3	flavin containing monooxygenase 3		best inferred	0.68	0.00
2327	FMO2	flavin containing monooxygenase 2		best inferred	0.84	0.00
100862671	TMEM265	transmembrane protein 265		not inferred		
2326	FMO1	flavin containing monooxygenase 1		best inferred	0.76	0.00
2324	FLT4	fms related tyrosine kinase 4	Receptor Tyrosine Kinases, I-set domain containing, Immunoglobulin like domain containing	best inferred	0.54	0.00
2323	FLT3LG	fms related tyrosine kinase 3 ligand	Endogenous ligands	best inferred	0.74	0.00
259239	WFDC11	WAP four-disulfide core domain 11	WAP four-disulfide core domain containing	not inferred		
2322	FLT3	fms related tyrosine kinase 3	Receptor Tyrosine Kinases, CD molecules, Immunoglobulin like domain containing	best inferred	0.39	0.00
2321	FLT1	fms related tyrosine kinase 1	Receptor Tyrosine Kinases, I-set domain containing, Immunoglobulin like domain containing	best inferred	0.79	0.00
3652	IPP	intracisternal A particle-promoted polypeptide	Kelch like, BTB domain containing	best inferred	0.56	0.00
4983	OPHN1	oligophrenin 1	X-linked mental retardation, Rho GTPase activating proteins, BAR-PH domain containing	inferred	0.26	0.09
3653	IPW	imprinted in Prader-Willi syndrome (non-protein coding)		best inferred	0.86	0.00
3654	IRAK1	interleukin 1 receptor associated kinase 1		best inferred	0.67	0.00
4985	OPRD1	opioid receptor delta 1	Opioid receptors	inferred	0.19	0.15
3655	ITGA6	integrin subunit alpha 6	CD molecules, Integrin alpha subunits	best inferred	0.77	0.00
4986	OPRK1	opioid receptor kappa 1	Opioid receptors	inferred	0.34	0.08
3656	IRAK2	interleukin 1 receptor associated kinase 2		not inferred		
4987	OPRL1	opioid related nociceptin receptor 1	Opioid receptors	best inferred	0.48	0.02
4988	OPRM1	opioid receptor mu 1	Opioid receptors	inferred	0.04	0.43
3658	IREB2	iron responsive element binding protein 2		best inferred	0.62	0.00
2329	FMO4	flavin containing monooxygenase 4		best inferred	0.66	0.00
3659	IRF1	interferon regulatory factor 1		best inferred	0.85	0.00
3670	ISL1	ISL LIM homeobox 1	LIM class homeoboxes	inferred	0.33	0.03
3671	ISLR	immunoglobulin superfamily containing leucine rich repeat	I-set domain containing	best inferred	0.91	0.00
3672	ITGA1	integrin subunit alpha 1	CD molecules, Integrin alpha subunits	best inferred	0.90	0.00
285588	EFCAB9	EF-hand calcium binding domain 9	EF-hand domain containing	not inferred		
3673	ITGA2	integrin subunit alpha 2	CD molecules, Integrin alpha subunits	best inferred	0.74	0.00
2342	FNTB	farnesyltransferase, CAAX box, beta		inferred	0.07	0.39
1010	CDH12	cadherin 12	Type II classical cadherins	inferred	0.32	0.07
1008	CDH10	cadherin 10	Type II classical cadherins	best inferred	0.48	0.04
2339	FNTA	farnesyltransferase, CAAX box, alpha	Prenyltransferase alpha subunit repeat containing	best inferred	0.59	0.00
1007	CDH9	cadherin 9	Type II classical cadherins	best inferred	0.46	0.01
1006	CDH8	cadherin 8	Type II classical cadherins	best inferred	0.45	0.03
1005	CDH7	cadherin 7	Type II classical cadherins	inferred	0.37	0.06
1004	CDH6	cadherin 6	Type II classical cadherins	best inferred	0.48	0.01
2335	FN1	fibronectin 1	Endogenous ligands, Fibronectin type III domain containing	best inferred	0.85	0.00
1003	CDH5	cadherin 5	CD molecules, Type II classical cadherins	best inferred	0.90	0.00
2334	AFF2	AF4/FMR2 family member 2	AF4/FMR2 family, Super elongation complex	inferred	0.19	0.18
1002	CDH4	cadherin 4	Type I classical cadherins	best inferred	0.54	0.00
259249	MRGPRX1	MAS related GPR family member X1	G protein-coupled receptors, Class A orphans	not inferred		
1001	CDH3	cadherin 3	Type I classical cadherins	landmark		
2332	FMR1	fragile X mental retardation 1		best inferred	0.65	0.00
3663	IRF5	interferon regulatory factor 5		best inferred	0.67	0.00
4994	OR3A1	olfactory receptor family 3 subfamily A member 1	Olfactory receptors, family 3	inferred	0.15	0.18
3664	IRF6	interferon regulatory factor 6		best inferred	0.72	0.00
4995	OR3A2	olfactory receptor family 3 subfamily A member 2	Olfactory receptors, family 3	inferred	0.03	0.44
3665	IRF7	interferon regulatory factor 7		best inferred	0.81	0.00
3667	IRS1	insulin receptor substrate 1	Pleckstrin homology domain containing	best inferred	0.77	0.00
4998	ORC1	origin recognition complex subunit 1	AAA ATPases, Origin recognition complex 	landmark		
4999	ORC2	origin recognition complex subunit 2	Origin recognition complex	best inferred	0.70	0.00
285590	SH3PXD2B	SH3 and PX domains 2B		not inferred		
3669	ISG20	interferon stimulated exonuclease gene 20	Exonucleases	best inferred	0.83	0.00
1009	CDH11	cadherin 11	Type II classical cadherins	best inferred	0.86	0.00
116729	PPP1R27	protein phosphatase 1 regulatory subunit 27	Ankyrin repeat domain containing, Protein phosphatase 1 regulatory subunits	not inferred		
260293	CYP4X1	cytochrome P450 family 4 subfamily X member 1	Cytochrome P450 family 4	not inferred		
3680	ITGA9	integrin subunit alpha 9	Integrin alpha subunits	best inferred	0.68	0.00
3681	ITGAD	integrin subunit alpha D	CD molecules, Integrin alpha subunits	not inferred		
3682	ITGAE	integrin subunit alpha E	CD molecules, Integrin alpha subunits	landmark		
3683	ITGAL	integrin subunit alpha L	CD molecules, Integrin alpha subunits	best inferred	0.63	0.01
3684	ITGAM	integrin subunit alpha M	CD molecules, Complement system, Integrin alpha subunits	best inferred	0.79	0.00
128710	SLX4IP	SLX4 interacting protein		not inferred		
1022	CDK7	cyclin dependent kinase 7	Cyclin dependent kinases	landmark		
2353	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	Basic leucine zipper proteins, Fos transcription factor family	landmark		
285513	GPRIN3	GPRIN family member 3		not inferred		
107986596	LOC107986596	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2-like		not inferred		
1021	CDK6	cyclin dependent kinase 6	Cyclin dependent kinases	landmark		
2352	FOLR3	folate receptor 3		best inferred	0.44	0.01
1020	CDK5	cyclin dependent kinase 5	Cyclin dependent kinases	best inferred	0.86	0.00
2350	FOLR2	folate receptor beta		best inferred	0.77	0.00
1019	CDK4	cyclin dependent kinase 4	Cyclin dependent kinases	landmark		
1018	CDK3	cyclin dependent kinase 3	Cyclin dependent kinases	best inferred	0.68	0.00
1017	CDK2	cyclin dependent kinase 2	Cyclin dependent kinases	landmark		
2348	FOLR1	folate receptor 1		best inferred	0.40	0.00
1016	CDH18	cadherin 18	Type II classical cadherins	best inferred	0.47	0.03
1015	CDH17	cadherin 17	7D cadherins	inferred	-0.04	0.59
2346	FOLH1	folate hydrolase 1		not inferred		
1014	CDH16	cadherin 16	7D cadherins	best inferred	0.51	0.00
1013	CDH15	cadherin 15	Type I classical cadherins	best inferred	0.44	0.00
1012	CDH13	cadherin 13	Major cadherins	best inferred	0.80	0.00
3674	ITGA2B	integrin subunit alpha 2b	CD molecules, Protein phosphatase 1 regulatory subunits, Integrin alpha subunits	inferred	0.29	0.04
3675	ITGA3	integrin subunit alpha 3	CD molecules, Integrin alpha subunits	best inferred	0.79	0.00
284257	BOD1L2	biorientation of chromosomes in cell division 1 like 2		not inferred		
3676	ITGA4	integrin subunit alpha 4	CD molecules, Integrin alpha subunits	best inferred	0.74	0.00
100128731	OST4	oligosaccharyltransferase complex subunit 4, non-catalytic	Oligosaccharyltransferase complex subunits	not inferred		
3678	ITGA5	integrin subunit alpha 5	CD molecules, Integrin alpha subunits	best inferred	0.91	0.00
284254	DYNAP	dynactin associated protein		not inferred		
3679	ITGA7	integrin subunit alpha 7	Integrin alpha subunits	best inferred	0.89	0.00
284252	KCTD1	potassium channel tetramerization domain containing 1		not inferred		
728464	METTL24	methyltransferase like 24		not inferred		
3690	ITGB3	integrin subunit beta 3	CD molecules, Integrin beta subunits	best inferred	0.72	0.00
3691	ITGB4	integrin subunit beta 4	CD molecules, Fibronectin type III domain containing, Integrin beta subunits	best inferred	0.75	0.00
3692	EIF6	eukaryotic translation initiation factor 6		best inferred	0.85	0.00
3693	ITGB5	integrin subunit beta 5	Integrin beta subunits	landmark		
285521	COX18	COX18, cytochrome c oxidase assembly factor	Mitochondrial respiratory chain complex assembly factors	not inferred		
3694	ITGB6	integrin subunit beta 6	Integrin beta subunits	best inferred	0.64	0.00
3695	ITGB7	integrin subunit beta 7	Integrin beta subunits	best inferred	0.57	0.01
1033	CDKN3	cyclin dependent kinase inhibitor 3	CDC14 phosphatases	best inferred	0.67	0.00
1032	CDKN2D	cyclin dependent kinase inhibitor 2D	Ankyrin repeat domain containing	best inferred	0.82	0.00
285525	YIPF7	Yip1 domain family member 7	Yip1 domain containing	not inferred		
1031	CDKN2C	cyclin dependent kinase inhibitor 2C	Ankyrin repeat domain containing	best inferred	0.60	0.00
1030	CDKN2B	cyclin dependent kinase inhibitor 2B		best inferred	0.62	0.00
285527	FRYL	FRY like transcription coactivator		best inferred	0.62	0.00
729799	SEC14L1P1	SEC14 like 1 pseudogene 1		inferred	0.33	0.07
1029	CDKN2A	cyclin dependent kinase inhibitor 2A		landmark		
440295	GOLGA6L9	golgin A6 family-like 9		not inferred		
1028	CDKN1C	cyclin dependent kinase inhibitor 1C		best inferred	0.75	0.00
2359	FPR3	formyl peptide receptor 3	Formyl peptide receptors	best inferred	0.74	0.00
1027	CDKN1B	cyclin dependent kinase inhibitor 1B		landmark		
2358	FPR2	formyl peptide receptor 2	Formyl peptide receptors, Leukotriene receptors	best inferred	0.55	0.00
1026	CDKN1A	cyclin dependent kinase inhibitor 1A		landmark		
2357	FPR1	formyl peptide receptor 1	Formyl peptide receptors	best inferred	0.86	0.00
440292	LOC440292	COMM domain-containing protein 4-like		not inferred		
1025	CDK9	cyclin dependent kinase 9	Cyclin dependent kinases, P-TEFb complex	best inferred	0.50	0.01
2356	FPGS	folylpolyglutamate synthase		landmark		
1024	CDK8	cyclin dependent kinase 8	Cyclin dependent kinases, Mediator complex	best inferred	0.65	0.00
2355	FOSL2	FOS like 2, AP-1 transcription factor subunit	Basic leucine zipper proteins, Fos transcription factor family	best inferred	0.84	0.00
2354	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit	Basic leucine zipper proteins, Fos transcription factor family	best inferred	0.74	0.00
3685	ITGAV	integrin subunit alpha V	CD molecules, Integrin alpha subunits	best inferred	0.78	0.00
3687	ITGAX	integrin subunit alpha X	CD molecules, Complement system, Integrin alpha subunits	best inferred	0.59	0.00
3688	ITGB1	integrin subunit beta 1	CD molecules, Integrin beta subunits	best inferred	0.90	0.00
3689	ITGB2	integrin subunit beta 2	CD molecules, Complement system, Integrin beta subunits	best inferred	0.86	0.00
259283	MDS2	myelodysplastic syndrome 2 translocation associated		not inferred		
259282	BOD1L1	biorientation of chromosomes in cell division 1 like 1		not inferred		
728498	GOLGA8H	golgin A8 family member H		best inferred	0.67	0.00
728492	SERF1B	small EDRK-rich factor 1B		not inferred		
285533	RNF175	ring finger protein 175	Ring finger proteins	not inferred		
1044	CDX1	caudal type homeobox 1	HOXL subclass homeoboxes	inferred	0.02	0.41
1043	CD52	CD52 molecule	CD molecules	best inferred	0.77	0.00
259289	TAS2R43	taste 2 receptor member 43	Taste 2 receptors	not inferred		
1041	CDSN	corneodesmosin		inferred	0.32	0.09
1040	CDS1	CDP-diacylglycerol synthase 1		best inferred	0.85	0.00
259287	TAS2R41	taste 2 receptor member 41	Taste 2 receptors	not inferred		
259286	TAS2R40	taste 2 receptor member 40	Taste 2 receptors	not inferred		
259285	TAS2R39	taste 2 receptor member 39	Taste 2 receptors	not inferred		
1039	CDR2	cerebellar degeneration related protein 2		best inferred	0.80	0.00
1038	CDR1	cerebellar degeneration related protein 1		best inferred	0.46	0.02
1036	CDO1	cysteine dioxygenase type 1		best inferred	0.85	0.00
107985283	LOC107985283	uncharacterized LOC107985283		not inferred		
3696	ITGB8	integrin subunit beta 8	Integrin beta subunits	best inferred	0.58	0.00
3697	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1		inferred	0.37	0.02
3698	ITIH2	inter-alpha-trypsin inhibitor heavy chain 2	Gla domain containing	best inferred	0.53	0.00
3699	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3		best inferred	0.60	0.00
105371224	LOC105371224	uncharacterized LOC105371224		not inferred		
259294	TAS2R19	taste 2 receptor member 19	Taste 2 receptors	not inferred		
259293	TAS2R30	taste 2 receptor member 30	Taste 2 receptors	not inferred		
728485	LOC728485	uncharacterized LOC728485		not inferred		
259292	TAS2R46	taste 2 receptor member 46	Taste 2 receptors	not inferred		
259291	TAS2R45	taste 2 receptor member 45		not inferred		
259290	TAS2R31	taste 2 receptor member 31	Taste 2 receptors	not inferred		
1054	CEBPG	CCAAT/enhancer binding protein gamma	Basic leucine zipper proteins, CCAAT/enhancer binding proteins 	best inferred	0.71	0.00
1053	CEBPE	CCAAT/enhancer binding protein epsilon	Basic leucine zipper proteins, CCAAT/enhancer binding proteins 	inferred	0.15	0.22
1052	CEBPD	CCAAT/enhancer binding protein delta	Basic leucine zipper proteins, CCAAT/enhancer binding proteins 	landmark		
1051	CEBPB	CCAAT/enhancer binding protein beta	Basic leucine zipper proteins, CCAAT/enhancer binding proteins 	best inferred	0.85	0.00
1050	CEBPA	CCAAT/enhancer binding protein alpha	Basic leucine zipper proteins, CCAAT/enhancer binding proteins 	landmark		
728489	DNLZ	DNL-type zinc finger	Zinc fingers	not inferred		
259296	TAS2R50	taste 2 receptor member 50	Taste 2 receptors	not inferred		
259295	TAS2R20	taste 2 receptor member 20	Taste 2 receptors	not inferred		
1048	CEACAM5	carcinoembryonic antigen related cell adhesion molecule 5	CD molecules, V-set domain containing, I-set domain containing, Immunoglobulin like domain containing, Carcinoembryonic antigen related cell adhesion molecule family	inferred	0.33	0.07
1047	CLGN	calmegin		best inferred	0.38	0.02
1046	CDX4	caudal type homeobox 4	HOXL subclass homeoboxes	inferred	0.19	0.21
1045	CDX2	caudal type homeobox 2	HOXL subclass homeoboxes	inferred	0.11	0.26
50700	RDH8	retinol dehydrogenase 8 (all-trans)	Short chain dehydrogenase/reductase superfamily	inferred	-0.04	0.62
646915	ZNF806	zinc finger protein 806		not inferred		
105371215	LOC105371215	uncharacterized LOC105371215		not inferred		
59082	CARD18	caspase recruitment domain family member 18	Caspase recruitment domain containing	not inferred		
1066	CES1	carboxylesterase 1	Carboxylesterases	best inferred	0.73	0.00
2395	FXN	frataxin		best inferred	0.80	0.00
1063	CENPF	centromere protein F		best inferred	0.72	0.00
1062	CENPE	centromere protein E	Kinesins, Protein phosphatase 1 regulatory subunits	landmark		
59084	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)		not inferred		
1060	CENPC	centromere protein C		best inferred	0.73	0.00
11108	PRDM4	PR/SET domain 4	Zinc fingers C2H2-type, PR/SET domain family	best inferred	0.53	0.00
11107	PRDM5	PR/SET domain 5	Zinc fingers C2H2-type, PR/SET domain family	best inferred	0.51	0.01
1059	CENPB	centromere protein B	Helix-turn-helix CENPB type domain containing, DNA transposon derived genes	best inferred	0.76	0.00
1058	CENPA	centromere protein A		best inferred	0.70	0.00
1057	CELP	carboxyl ester lipase pseudogene		inferred	0.25	0.06
85379	KIAA1671	KIAA1671		not inferred		
114112	TXNRD3	thioredoxin reductase 3	Selenoproteins	best inferred	0.81	0.00
1056	CEL	carboxyl ester lipase	Lipases	not inferred		
11100	HNRNPUL1	heterogeneous nuclear ribonucleoprotein U like 1		best inferred	0.80	0.00
85377	MICALL1	MICAL like 1	LIM domain containing	landmark		
85378	TUBGCP6	tubulin gamma complex associated protein 6		not inferred		
11102	RPP14	ribonuclease P/MRP subunit p14		best inferred	0.67	0.00
11101	ATE1	arginyltransferase 1		not inferred		
85376	RIMBP3	RIMS binding protein 3		not inferred		
139411	PTCHD1	patched domain containing 1		not inferred		
11104	KATNA1	katanin catalytic subunit A1	AAA ATPases	best inferred	0.81	0.00
11103	KRR1	KRR1, small subunit processome component homolog		best inferred	0.64	0.00
284297	SSC5D	scavenger receptor cysteine rich family member with 5 domains	Scavenger receptors, Scavenger receptor cysteine rich domain containing	not inferred		
11105	PRDM7	PR/SET domain 7	Zinc fingers C2H2-type, PR/SET domain family	not inferred		
25759	SHC2	SHC adaptor protein 2	SH2 domain containing	not inferred		
284293	HMSD	histocompatibility minor serpin domain containing	Minor histocompatibility antigens	not inferred		
1075	CTSC	cathepsin C	Cathepsins	best inferred	0.84	0.00
115426	UHRF2	ubiquitin like with PHD and ring finger domains 2	Ring finger proteins, PHD finger proteins, Tudor domain containing	not inferred		
1073	CFL2	cofilin 2		not inferred		
1072	CFL1	cofilin 1		inferred	0.15	0.25
1071	CETP	cholesteryl ester transfer protein	BPI fold containing	best inferred	0.64	0.00
25758	KIAA1549L	KIAA1549 like		best inferred	0.60	0.00
440243	GOLGA6L22	golgin A6 family-like 22		not inferred		
1070	CETN3	centrin 3	EF-hand domain containing	landmark		
11119	BTN3A1	butyrophilin subfamily 3 member A1	Butyrophilins, CD molecules, V-set domain containing, C2-set domain containing	best inferred	0.82	0.00
11118	BTN3A2	butyrophilin subfamily 3 member A2	Butyrophilins, V-set domain containing	best inferred	0.74	0.00
441581	FRG2B	FSHD region gene 2 family member B		not inferred		
1069	CETN2	centrin 2	EF-hand domain containing, Nucleotide excision repair, Transcription and export complex 2	best inferred	0.88	0.00
1068	CETN1	centrin 1	EF-hand domain containing	inferred	0.04	0.44
85369	STRIP1	striatin interacting protein 1	STRIPAK complex	not inferred		
84034	EMILIN2	elastin microfibril interfacer 2	EMI domain containing	inferred	0.35	0.08
85366	MYLK2	myosin light chain kinase 2		not inferred		
84033	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	Fibronectin type III domain containing, I-set domain containing, Rho guanine nucleotide exchange factors	inferred	0.34	0.03
11113	CIT	citron rho-interacting serine/threonine kinase		best inferred	0.67	0.00
85364	ZCCHC3	zinc finger CCHC-type containing 3	Zinc fingers CCHC-type	not inferred		
11112	HIBADH	3-hydroxyisobutyrate dehydrogenase		not inferred		
85365	ALG2	ALG2, alpha-1,3/1,6-mannosyltransferase	Glycosyl transferases group 1 domain containing	not inferred		
139422	MAGEB10	MAGE family member B10	MAGE family	not inferred		
85363	TRIM5	tripartite motif containing 5	Ring finger proteins, Tripartite motif containing	best inferred	0.84	0.00
11117	EMILIN1	elastin microfibril interfacer 1	EMI domain containing	best inferred	0.94	0.00
85360	SYDE1	synapse defective Rho GTPase homolog 1		best inferred	0.94	0.00
11116	FGFR1OP	FGFR1 oncogene partner		best inferred	0.73	0.00
1080	CFTR	cystic fibrosis transmembrane conductance regulator	Chloride channels, ATP-gated CFTR, ATP binding cassette subfamily C	inferred	0.24	0.11
84061	MAGT1	magnesium transporter 1	X-linked mental retardation, Oligosaccharyltransferase complex subunits	best inferred	0.79	0.00
84060	RBM48	RNA binding motif protein 48	RNA binding motif containing	best inferred	0.45	0.02
139425	DCAF8L1	DDB1 and CUL4 associated factor 8 like 1	WD repeat domain containing	not inferred		
1088	CEACAM8	carcinoembryonic antigen related cell adhesion molecule 8	CD molecules, V-set domain containing, Immunoglobulin like domain containing, Carcinoembryonic antigen related cell adhesion molecule family	inferred	0.19	0.16
153733	CCDC112	coiled-coil domain containing 112		not inferred		
1087	CEACAM7	carcinoembryonic antigen related cell adhesion molecule 7	V-set domain containing, Immunoglobulin like domain containing, Carcinoembryonic antigen related cell adhesion molecule family	inferred	0.25	0.11
440279	UNC13C	unc-13 homolog C	UNC13 homologs	not inferred		
1084	CEACAM3	carcinoembryonic antigen related cell adhesion molecule 3	CD molecules, V-set domain containing, Carcinoembryonic antigen related cell adhesion molecule family	inferred	0.11	0.28
115416	MALSU1	mitochondrial assembly of ribosomal large subunit 1		not inferred		
1082	CGB3	chorionic gonadotropin beta subunit 3	Endogenous ligands	not inferred		
1081	CGA	glycoprotein hormones, alpha polypeptide	Endogenous ligands	inferred	0.13	0.14
440275	EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4		not inferred		
84067	FAM160A2	family with sequence similarity 160 member A2		not inferred		
84066	TEX35	testis expressed 35		not inferred		
84069	PLEKHN1	pleckstrin homology domain containing N1	Pleckstrin homology domain containing	not inferred		
85397	RGS8	regulator of G-protein signaling 8	Regulators of G-protein signaling	not inferred		
84068	SLC10A7	solute carrier family 10 member 7	Solute carriers	not inferred		
84063	KIRREL2	kin of IRRE like 2 (Drosophila)	C2-set domain containing, I-set domain containing, Immunoglobulin like domain containing	not inferred		
85395	FAM207A	family with sequence similarity 207 member A		not inferred		
84062	DTNBP1	dystrobrevin binding protein 1	Biogenesis of lysosomal organelles complex 1	not inferred		
84065	TMEM222	transmembrane protein 222		best inferred	0.76	0.00
284274	SMIM21	small integral membrane protein 21		not inferred		
84064	HDHD2	haloacid dehalogenase like hydrolase domain containing 2	Haloacid dehalogenase like hydrolase domain containing	not inferred		
284273	ZADH2	zinc binding alcohol dehydrogenase domain containing 2		not inferred		
403282	OR6C65	olfactory receptor family 6 subfamily C member 65	Olfactory receptors, family 6	not inferred		
403284	OR6C68	olfactory receptor family 6 subfamily C member 68	Olfactory receptors, family 6	not inferred		
152405	C3orf30	chromosome 3 open reading frame 30		not inferred		
440270	GOLGA8B	golgin A8 family member B		not inferred		
84059	ADGRV1	adhesion G protein-coupled receptor V1	Adhesion G protein-coupled receptors, subfamily V, USH2 complex 	inferred	-0.04	0.59
152404	IGSF11	immunoglobulin superfamily member 11	I-set domain containing	not inferred		
1089	CEACAM4	carcinoembryonic antigen related cell adhesion molecule 4	V-set domain containing, Carcinoembryonic antigen related cell adhesion molecule family	inferred	0.00	0.53
84056	KATNAL1	katanin catalytic subunit A1 like 1	AAA ATPases	not inferred		
84058	WDR54	WD repeat domain 54	WD repeat domain containing	not inferred		
84057	MND1	meiotic nuclear divisions 1		not inferred		
284266	SIGLEC15	sialic acid binding Ig like lectin 15	V-set domain containing, Sialic acid binding Ig like lectins	inferred	0.24	0.15
84081	NSRP1	nuclear speckle splicing regulatory protein 1		not inferred		
84080	ENKD1	enkurin domain containing 1		not inferred		
84083	ZRANB3	zinc finger RANBP2-type containing 3	Zinc fingers RANBP2-type	not inferred		
285596	FAM153A	family with sequence similarity 153 member A		inferred	0.28	0.09
285598	ARL10	ADP ribosylation factor like GTPase 10	ARF GTPase family	not inferred		
